Lote;Registro Sanitario;RUC ; C¢digo Cliente ; Proveedor ; Raz¢n Social ;Fecha Ingreso ; Fecha Vcto ;T. Documento ; Nø de Documento ; C¢digo Interno ;Unidad (UND) ; UM ; Temp. ;Cant.Bulto;Cant. Cajas ;Cant.x Caja;Cant.Fracci¢n; Cantidad Total ;Fabricante ; Procedencia ; Observaciones
SP4125080402;DM23808E;20600124871;CLI-4871-001;JOSSON MEDICAL EIRL;AFECORP PERU S.A.C;14/10/2025;5/08/2028;Factura;F100-00006113;INT-P0264;UND;UND;15ø a 25ø;1;1;3;0;3;APT MEDICAL INC;CHINA;
EFH14;DM11558E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;5/07/2028;Invoice;2925201758;INT-P0265;UND;UND;15ø a 25ø;1;1;11;0;11;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFG99;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;21/06/2028;Invoice;2925201758;INT-P0266;UND;UND;15ø a 25ø;1;1;11;0;11;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH05;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;26/06/2028;Invoice;2925201758;INT-P0267;UND;UND;15ø a 25ø;1;1;11;0;11;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFG94;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;14/06/2028;Invoice;2925201758;INT-P0268;UND;UND;15ø a 25ø;1;1;6;0;6;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFG99;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;21/06/2028;Invoice;2925201758;INT-P0269;UND;UND;15ø a 25ø;1;1;5;0;5;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH07;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;28/06/2028;Invoice;2925201758;INT-P0270;UND;UND;15ø a 25ø;1;1;4;0;4;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFG78;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;17/05/2028;Invoice;2925201758;INT-P0271;UND;UND;15ø a 25ø;1;1;4;0;4;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH07;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;28/06/2028;Invoice;2925201758;INT-P0272;UND;UND;15ø a 25ø;1;1;10;0;10;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFG82;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;27/05/2028;Invoice;2925201758;INT-P0273;UND;UND;15ø a 25ø;1;1;10;0;10;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFG95;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;26/06/2028;Invoice;2925201758;INT-P0274;UND;UND;15ø a 25ø;1;1;10;0;10;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH10;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;30/06/2028;Invoice;2925201758;INT-P0275;UND;UND;15ø a 25ø;1;1;10;0;10;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH07;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;28/06/2028;Invoice;2925201758;INT-P0276;UND;UND;15ø a 25ø;1;1;4;0;4;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH13;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;2/07/2028;Invoice;2925201758;INT-P0277;UND;UND;15ø a 25ø;1;1;4;0;4;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH10;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;30/06/2028;Invoice;2925201758;INT-P0278;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH20;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;11/07/2028;Invoice;2925201758;INT-P0279;UND;UND;15ø a 25ø;1;1;4;0;4;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH09;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;1/07/2028;Invoice;2925201758;INT-P0280;UND;UND;15ø a 25ø;1;1;5;0;5;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH32;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;8/08/2028;Invoice;2925201758;INT-P0281;UND;UND;15ø a 25ø;1;1;16;0;16;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH30;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;6/08/2028;Invoice;2925201758;INT-P0282;UND;UND;15ø a 25ø;1;1;5;0;5;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH24;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;23/07/2028;Invoice;2925201758;INT-P0283;UND;UND;15ø a 25ø;1;1;4;0;4;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH24;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;23/07/2028;Invoice;2925201758;INT-P0284;UND;UND;15ø a 25ø;1;1;4;0;4;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH33;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;11/08/2028;Invoice;2925201758;INT-P0285;UND;UND;15ø a 25ø;1;1;9;0;9;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH18;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;10/07/2028;Invoice;2925201758;INT-P0286;UND;UND;15ø a 25ø;1;1;9;0;9;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH19;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;11/07/2028;Invoice;2925201758;INT-P0287;UND;UND;15ø a 25ø;1;1;9;0;9;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH13;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;2/07/2028;Invoice;2925201758;INT-P0288;UND;UND;15ø a 25ø;1;1;10;0;10;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH32;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;8/08/2028;Invoice;2925201758;INT-P0289;UND;UND;15ø a 25ø;1;1;3;0;3;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH35;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;4/09/2028;Invoice;2925201758;INT-P0290;UND;UND;15ø a 25ø;1;1;3;0;3;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH34;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;11/08/2028;Invoice;2925201758;INT-P0291;UND;UND;15ø a 25ø;1;1;10;0;10;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH25;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;24/07/2028;Invoice;2925201758;INT-P0292;UND;UND;15ø a 25ø;1;1;3;0;3;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH26;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;25/07/2028;Invoice;2925201758;INT-P0293;UND;UND;15ø a 25ø;1;1;3;0;3;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH17;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;10/07/2028;Invoice;2925201758;INT-P0294;UND;UND;15ø a 25ø;1;1;3;0;3;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH33;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;11/08/2028;Invoice;2925201758;INT-P0295;UND;UND;15ø a 25ø;1;1;3;0;3;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH31;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;7/08/2028;Invoice;2925201758;INT-P0296;UND;UND;15ø a 25ø;1;1;2;0;2;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH29;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;7/08/2028;Invoice;2925201758;INT-P0297;UND;UND;15ø a 25ø;1;1;2;0;2;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH23;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;24/07/2028;Invoice;2925201758;INT-P0298;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
EFH23;DM15585E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;24/07/2028;Invoice;2925201758;INT-P0299;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
MVC12;DM26178E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;22/09/2027;Invoice;2925201759;INT-P0300;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
MVC13;DM26178E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;27/09/2027;Invoice;2925201759;INT-P0301;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
MVC11;DM26178E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;16/09/2027;Invoice;2925201759;INT-P0302;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
MVC14;DM26178E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;27/09/2027;Invoice;2925201759;INT-P0303;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
MVC10;DM26178E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;15/09/2027;Invoice;2925201759;INT-P0304;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
MVC08;DM26178E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;3/09/2027;Invoice;2925201759;INT-P0305;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
MVC11;DM26178E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;16/09/2027;Invoice;2925201759;INT-P0306;UND;UND;15ø a 25ø;1;1;2;0;2;MERIL LIFE SCIENCES PVT LTD.;INDIA;
PMTDF63;DM25766E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;25/08/2027;Invoice;2925201759;INT-P0307;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
PMTDF64;DM25766E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;7/09/2027;Invoice;2925201759;INT-P0308;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
PMTDF64;DM25766E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;7/09/2027;Invoice;2925201759;INT-P0309;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
PMTDF57;DM25766E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;31/07/2027;Invoice;2925201759;INT-P0310;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
PMTDF53;DM25766E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;11/07/2027;Invoice;2925201759;INT-P0311;UND;UND;15ø a 25ø;1;1;1;0;1;MERIL LIFE SCIENCES PVT LTD.;INDIA;
PMTDF59;DM25766E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;6/08/2027;Invoice;2925201759;INT-P0312;UND;UND;15ø a 25ø;1;1;2;0;2;MERIL LIFE SCIENCES PVT LTD.;INDIA;
PPHTC61;DM26236E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;20/09/2027;Invoice;2925201759;INT-P0313;UND;UND;15ø a 25ø;1;1;14;0;14;MERIL LIFE SCIENCES PVT LTD.;INDIA;
PVLDCK13;DM21052E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;5/08/2028;Invoice;2925201759;INT-P0314;UND;UND;15ø a 25ø;1;1;4;0;4;MERIL LIFE SCIENCES PVT LTD.;INDIA;
PVLDCK14;DM21052E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;6/08/2028;Invoice;2925201759;INT-P0315;UND;UND;15ø a 25ø;1;1;6;0;6;MERIL LIFE SCIENCES PVT LTD.;INDIA;
PMTVD14;DM25981E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;5/07/2028;Invoice;2925201759;INT-P0316;UND;UND;15ø a 25ø;1;1;4;0;4;MERIL LIFE SCIENCES PVT LTD.;INDIA;
PMTVD20;DM25981E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;20/07/2028;Invoice;2925201759;INT-P0317;UND;UND;15ø a 25ø;1;1;4;0;4;MERIL LIFE SCIENCES PVT LTD.;INDIA;
PMTVD11;DM25981E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;30/06/2028;Invoice;2925201759;INT-P0318;UND;UND;15ø a 25ø;1;1;2;0;2;MERIL LIFE SCIENCES PVT LTD.;INDIA;
PMTVD22;DM25981E;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;21/10/2025;29/07/2028;Invoice;2925201759;INT-P0319;UND;UND;15ø a 25ø;1;1;2;0;2;MERIL LIFE SCIENCES PVT LTD.;INDIA;
POBC13;N;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;22/10/2025;18/07/2026;Invoice;2925201757;INT-P0320;UND;UND;15ø a 25ø;1;1;35;0;35;MERIL LIFE SCIENCES PVT. LTD.;INDIA;
POBC02;N;20605712241;CLI-2241-001;MERIL LIFE SCIENCES PVT LTD.;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;22/10/2025;16/06/2026;Invoice;2925201757;INT-P0321;UND;UND;15ø a 25ø;1;1;15;0;15;MERIL LIFE SCIENCES PVT. LTD.;INDIA;
"SN - 560435 M25308290001
";DB4253E;20612226211;CLI-6211-001;EDAN INSTRUMENTS INC;SUNIX MEDICAL S.A.C.;31/10/2025;N/A;Gu¡a de Remisi¢n Remitente;EG07-00000008;INT-P0322;UND;UND;15ø a 25ø;1;1;1;0;1;EDAN INSTRUMENTS INC;CHINA;
33998;NSOC09475-21CO;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;27/06/2028;Invoice;009/2025NS;INT-P0323;UND;UND;15¦ 25¦ C;1;1;60;0;60;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
34047;NSOC09475-21CO;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;13/06/2028;Invoice;009/2025NS;INT-P0324;UND;UND;15¦ 25¦ C;1;1;120;0;120;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
32965;NSOC09475-21CO;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;11/04/2028;Invoice;009/2025NS;INT-P0325;UND;UND;15¦ 25¦ C;1;1;90;0;90;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
34985;NSOC09475-21CO;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;30/09/2028;Invoice;009/2025NS;INT-P0326;UND;UND;15¦ 25¦ C;1;1;120;0;120;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
34415;NSOC09509-21CO;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;10/07/2028;Invoice;009/2025NS;INT-P0327;UND;UND;15¦ 25¦ C;1;1;120;0;120;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
34413;DM28577E;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;8/07/2027;Invoice;009/2025NS;INT-P0328;UND;UND;15¦ 25¦ C;1;1;200;0;200;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
35088;DM28577E;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;13/10/2027;Invoice;009/2025NS;INT-P0329;UND;UND;15¦ 25¦ C;1;1;400;0;400;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
34374;DM28577E;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;4/07/2027;Invoice;009/2025NS;INT-P0330;UND;UND;15¦ 25¦ C;1;1;160;0;160;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
34525;DM28577E;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;18/07/2027;Invoice;009/2025NS;INT-P0331;UND;UND;15¦ 25¦ C;1;1;150;0;150;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
35133;DM28577E;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;14/10/2027;Invoice;009/2025NS;INT-P0332;UND;UND;15¦ 25¦ C;1;1;90;0;90;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
32781;DM28577E;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;1/04/2028;Invoice;009/2025NS;INT-P0333;UND;UND;15¦ 25¦ C;1;1;87;0;87;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
34689;DM28041E;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;12/08/2027;Invoice;009/2025NS;INT-P0334;UND;UND;15¦ 25¦ C;1;1;100;0;100;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
34919;DM28041E;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;9/09/2027;Invoice;009/2025NS;INT-P0335;UND;UND;15¦ 25¦ C;1;1;100;0;100;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
35201;NSOC23182-23CO;20600124871;CLI-4871-001;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;AFECORP PERU S.A.C;26/11/2025;16/10/2027;Invoice;009/2025NS;INT-P0336;UND;UND;15¦ 25¦ C;1;1;90;0;90;NS PRODUTOS E SISTEMAS DE HIGIENELTDA;BRASIL;
S25TZAUFAG;DM22472E;20605712241;CLI-2241-001;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;27/11/2025;31/07/2027;Invoice;9903049636;INT-P0337;UND;UND;15¦ 25¦ C;1;1;4;0;4;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;INDIA;
S25TZASDAB;DM22472E;20605712241;CLI-2241-001;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;27/11/2025;31/07/2027;Invoice;9903049636;INT-P0338;UND;UND;15¦ 25¦ C;1;1;4;0;4;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;INDIA;
S25TZASDAJ;DM22472E;20605712241;CLI-2241-001;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;27/11/2025;31/07/2027;Invoice;9903049636;INT-P0339;UND;UND;15¦ 25¦ C;1;1;2;0;2;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;INDIA;
S25TZASCAL;DM22472E;20605712241;CLI-2241-001;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;27/11/2025;31/07/2027;Invoice;9903049636;INT-P0340;UND;UND;15¦ 25¦ C;1;1;4;0;4;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;INDIA;
P25TZAGYAD;DM22472E;20605712241;CLI-2241-001;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;27/11/2025;31/07/2027;Invoice;9903049636;INT-P0341;UND;UND;15¦ 25¦ C;1;1;4;0;4;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;INDIA;
S25TZAMAAB;DM22472E;20605712241;CLI-2241-001;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;27/11/2025;31/05/2027;Invoice;9903049636;INT-P0342;UND;UND;15¦ 25¦ C;1;1;2;0;2;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;INDIA;
P25TZAGGAD;DM22472E;20605712241;CLI-2241-001;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;27/11/2025;30/06/2027;Invoice;9903049636;INT-P0343;UND;UND;15¦ 25¦ C;1;1;5;0;5;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;INDIA;
S25TZAMXAD;DM22472E;20605712241;CLI-2241-001;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;27/11/2025;31/05/2027;Invoice;9903049636;INT-P0344;UND;UND;15¦ 25¦ C;1;1;7;0;7;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;INDIA;
S25TZAPKAA;DM22472E;20605712241;CLI-2241-001;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;27/11/2025;30/06/2027;Invoice;9903049636;INT-P0345;UND;UND;15¦ 25¦ C;1;1;10;0;10;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;INDIA;
P25TZAFWAA;DM22472E;20605712241;CLI-2241-001;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;MIRET MEDICAL ASOCIADOS S.A.C. MIRET MED;27/11/2025;30/06/2027;Invoice;9903049636;INT-P0346;UND;UND;15¦ 25¦ C;1;1;3;0;3;SAHAJANAND MEDICAL TECHNOLOGIES IRELAND LTD;INDIA;
