Lote;Registro Sanitario;RUC ; C¢digo Cliente ; Proveedor ; Raz¢n Social ;Fecha Ingreso ; Fecha Vcto ;T. Documento ; Nø de Documento ; C¢digo Interno ;Unidad (UND) ; UM ; Temp. ;Cant.Bulto;Cant. Cajas ;Cant.x Caja;Cant.Fracci¢n; Cantidad Total ;Fabricante ; Procedencia ; Observaciones
SM0612-062324;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0076;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062325;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0077;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062326;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0078;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062327;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0079;UND;;15¦ 25¦ C;1;1;18;0;18;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062328;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0080;UND;;15¦ 25¦ C;1;1;18;0;18;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062329;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0081;UND;;15¦ 25¦ C;1;1;18;0;18;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062330;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0082;UND;;15¦ 25¦ C;1;1;18;0;18;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062331;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0083;UND;;15¦ 25¦ C;1;1;18;0;18;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062332;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0084;UND;;15¦ 25¦ C;1;1;6;0;6;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062333;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0085;UND;;15¦ 25¦ C;1;1;6;0;6;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062334;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0086;UND;;15¦ 25¦ C;1;1;24;0;24;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062335;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0087;UND;;15¦ 25¦ C;1;1;6;0;6;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062336;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0088;UND;;15¦ 25¦ C;1;1;18;0;18;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062337;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0089;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062338;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0090;UND;;15¦ 25¦ C;1;1;10;0;10;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062339;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0091;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062340;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0092;UND;;15¦ 25¦ C;1;1;18;0;18;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062341;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0093;UND;;15¦ 25¦ C;1;1;18;0;18;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062342;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0094;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062344;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0095;UND;;15¦ 25¦ C;1;1;18;0;18;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062345;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0096;UND;;15¦ 25¦ C;1;1;19;0;19;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062346;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0097;UND;;15¦ 25¦ C;1;1;6;0;6;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062347;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0098;UND;;15¦ 25¦ C;1;1;6;0;6;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062348;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0099;UND;;15¦ 25¦ C;1;1;6;0;6;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062349;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0100;UND;;15¦ 25¦ C;1;1;31;0;31;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062350;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0101;UND;;15¦ 25¦ C;1;1;24;0;24;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062351;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0102;UND;;15¦ 25¦ C;1;1;24;0;24;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062352;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0103;UND;;15¦ 25¦ C;1;1;3;0;3;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062201;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0104;UND;;15¦ 25¦ C;1;1;6;0;6;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062202;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0105;UND;;15¦ 25¦ C;1;1;24;0;24;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062203;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0106;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062204;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0107;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062205;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0108;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062206;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0109;UND;;15¦ 25¦ C;1;1;30;0;30;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062207;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0110;UND;;15¦ 25¦ C;1;1;6;0;6;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062208;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0111;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062209;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0112;UND;;15¦ 25¦ C;1;1;6;0;6;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062210;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0113;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062211;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0114;UND;;15¦ 25¦ C;1;1;8;0;8;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062212;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0115;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062213;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0116;UND;;15¦ 25¦ C;1;1;24;0;24;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062214;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0117;UND;;15¦ 25¦ C;1;1;24;0;24;SUNMED INSTRUMENTS;PAKISTAN;
